"","Hotelling-T2"
"185.041981417956",8.5275
"387.99969",8.5262
"453.898003069249",8.5255
"553.7531505524",8.5238
"512.882447391457",8.523
"299.098673931401",8.5186
"536.732834489311",8.5183
"518.704551184974",8.5154
"542.942881974692",8.5115
"484.324298614793",8.5113
"421.884288950593",8.5108
"572.81204715058",8.5056
"569.472349943583",8.5054
"333.115467858126",8.5002
"559.272454742739",8.4843
"493.19185043446",8.4794
"552.951905463821",8.4688
"505.883413034587",8.4646
"281.136127888633",8.4644
"233.96858295435",8.4631
"591.988908990946",8.4596
"530.3554242116",8.4594
"495.770757799811",8.459
"456.820829437387",8.4498
"572.250704426057",8.4497
"528.69827463552",8.4485
"464.688550314963",8.4467
"591.384080438632",8.4387
"402.931080087371",8.4362
"270.09125744356",8.4305
"443.150225421684",8.4284
"576.790867307977",8.4261
"140.071627123576",8.4227
"277.033081886928",8.4199
"153.088540996297",8.4145
"553.201606640826",8.4136
"553.225264696003",8.4118
"119.034912898701",8.4094
"547.282978887319",8.4055
"472.89638678401",8.4033
"548.79136826022",8.4006
"486.881551144612",8.3968
"592.898555409594",8.3951
"269.042243937906",8.3945
"457.902868845761",8.388
"323.011308848716",8.3874
"451.811790613412",8.3828
"157.011782113378",8.378
"237.049362129791",8.3761
"352.016175925717",8.3709
"548.623937163987",8.3624
"527.210078722156",8.357
"585.00032",8.3562
"535.827310444225",8.34
"214.9318796974",8.334
"145.539711181224",8.3321
"488.277639700905",8.3309
"411.04255947509",8.329
"172.10625734523",8.3238
"492.055549057896",8.3171
"512.054491612289",8.3162
"556.839537448171",8.3149
"590.81526632451",8.314
"518.321408200584",8.3097
"343.191678094131",8.3069
"203.083388874311",8.3063
"489.832011086721",8.3011
"521.077413851854",8.2985
"344.910169168251",8.2978
"521.195172801935",8.2966
"494.869297656886",8.2935
"570.754031623718",8.2874
"507.180585162557",8.2867
"104.070482058761",8.2864
"470.288245864717",8.2856
"537.060972207849",8.2836
"581.825084820683",8.2787
"294.938880315369",8.2734
"517.969103152638",8.2732
"512.060307854903",8.2726
"529.755426585744",8.2721
"509.926384779391",8.2712
"445.078229068012",8.2695
"555.771179563762",8.2656
"413.214094431915",8.2631
"216.014557527177",8.2591
"531.798019613718",8.2582
"445.948794654731",8.2542
"527.32876148641",8.2526
"401.229652787615",8.2505
"532.85444474091",8.2489
"566.758790548745",8.2329
"393.297272213443",8.2286
"392.292296275317",8.2249
"451.242965148088",8.218
"390.711034351857",8.2133
"269.081559580732",8.2108
"203.082362235832",8.2107
"392.902192907132",8.2077
"220.036832843294",8.1938
"245.078314409121",8.1937
"121.037119259021",8.1918
"504.628238526739",8.1898
"317.11485706161",8.1848
"195.135531870502",8.1822
"556.919596052679",8.1801
"509.795963623782",8.1726
"421.014046813421",8.1634
"574.944693350148",8.1523
"388.995730563933",8.1519
"540.39421385273",8.1502
"330.995533807785",8.1494
"187.0007471311",8.1475
"462.928713301636",8.1471
"555.794763440626",8.1465
"409.14694195263",8.1455
"503.293482614315",8.1448
"431.25514563458",8.1434
"541.76698327504",8.1428
"160.997743054298",8.1415
"339.95183569995",8.1409
"321.130849467513",8.14
"456.2317030778",8.1354
"382.765991204212",8.132
"583.759708605964",8.1295
"460.958177171287",8.1286
"547.970429674611",8.1276
"193.013229666537",8.1226
"268.946399538491",8.1214
"441.043916545247",8.1165
"530.028327525799",8.1155
"555.851441418137",8.1141
"383.115777030023",8.1055
"589.961110139294",8.098
"340.827128985959",8.0962
"560.846432178396",8.0955
"305.949705873722",8.0928
"583.322891707254",8.0907
"574.838737829026",8.0897
"552.824688668873",8.0798
"444.975082948728",8.0745
"556.960123210582",8.0713
"269.172674970008",8.0703
"507.249649426193",8.0662
"470.260194826518",8.066
"500.800396222094",8.0638
"354.758852177969",8.0617
"406.908111281899",8.0598
"197.040362570234",8.0583
"556.257499100793",8.0559
"376.059464803243",8.0504
"156.039344724409",8.049
"546.405414981218",8.0477
"303.053834227852",8.0468
"189.017340756885",8.0404
"549.363209101277",8.0394
"513.339799754144",8.0334
"525.315309483639",8.0312
"534.368005191959",8.0311
"486.861425766364",8.0301
"540.788160665441",8.0284
"565.716818252703",8.0214
"455.20730781272",8.016
"448.951618928668",8.0037
"544.392774655996",7.9995
"214.836637033608",7.9977
"179.10415277237",7.996
"140.072437382283",7.9878
"476.711911235547",7.9855
"549.758282634049",7.984
"484.751090156438",7.9826
"521.848270747693",7.9804
"526.97171927442",7.98
"578.939224015658",7.9799
"440.201804505964",7.975
"130.086222883942",7.9731
"358.938556752773",7.9721
"576.857205999417",7.9712
"381.367137589856",7.9606
"125.001051581207",7.9562
"383.040592932722",7.9544
"215.135955225347",7.9522
"523.302765492292",7.9483
"392.989484534491",7.9412
"201.015937856882",7.9404
"512.788732921607",7.9387
"222.027983691251",7.9356
"304.260946600583",7.9342
"573.286881619379",7.9342
"456.789660068647",7.9324
"517.787187376859",7.9311
"504.257804365195",7.928
"519.999366239516",7.9216
"508.844598590455",7.9212
"545.208800934616",7.9193
